File,Valid_Rays,Prior_NmF2,Prior_hmF2,Post_NmF2,Post_hmF2,Abel_NmF2,Abel_hmF2,Post_Abel_RMSE,Prior_TEC_RMSE,Prior_TEC_MAE,Post_TEC_RMSE,Post_TEC_MAE,RelTEC_TEC_RMSE,RelTEC_TEC_MAE,RelTEC_TEC_bias_TECU,RelTEC_NmF2,RelTEC_hmF2,Processing_Time_s,Status
podTc2_GN05.2025.151.23.49.0026.G15.01_0000.0001_nc,397,333294581338.949,339.427613749828,221889793889.186,258.224681827794,238485132332.063,274.004925337329,45109795432.2595,38.613311692911,32.914830489469,3.23245720496416,2.53664107757437,2.52071170273188,1.56671071061484,22.4472632583329,173669757450.19,262.619026878839,13.1602606773376,Success
podTc2_GN05.2025.151.23.49.0027.E08.00_0000.0001_nc,702,676025650660.964,332.024308466057,1130162264952.78,228.527024712966,907905691657.672,323.864138808323,400992848128.201,76.623487995346,63.4192528977053,20.3174957186011,16.5335132887113,15.1859504383279,11.4211231802761,24.0324464605737,1064379300042.5,228.560486036241,85.7334730625153,Success
podTc2_GN05.2025.151.23.49.0027.R20.00_0000.0001_nc,499,626181350001.98,381.416052153471,561753344878.109,377.943763186537,399601605502.75,378.670932574124,169354500793.323,21.7215651803215,19.0210128727423,1.15384782197685,0.948149011410596,1.41623036430381,1.141387261392,0.243141623714099,565207775830.338,382.145745233636,27.1748788356781,Success
podTc2_GN05.2025.151.23.50.0047.G30.00_0000.0001_nc,1654,,,,,,,,,,,,,,,,,0.0184526443481445,Occultation too long
podTc2_GN05.2025.151.23.51.0028.G24.01_0000.0001_nc,377,673791431898.152,318.562093993485,742727152155.094,234.253619025637,322045355999.91,282.874804442662,198707324528.715,25.4212258598609,23.4457549095657,3.46593114583939,1.81475393875766,3.41988839235396,1.77648254428462,5.26781788421904,735077025005.688,234.249016642312,6.25217509269714,Success
podTc2_GN05.2025.151.23.52.0025.C44.00_0000.0001_nc,68,702164751116.131,393.289721236346,477261374419.883,385.746707536172,137150807778.813,566.593925738815,189056376291.296,8.08145650863038,6.34126948871354,0.719801420586655,0.616417329128611,0.164797045869111,0.146279706702833,20.5628165281102,633599113859.447,364.789798289406,1.94806957244873,Success
podTc2_GN05.2025.151.23.52.0025.G23.01_0000.0001_nc,377,437445339413.296,314.204616000511,1299633552146.15,175.165279108112,341794453279.031,273.498575912882,318363335327.93,55.7884449950378,41.8853054595872,2.57905958120078,2.04861361662505,0.614576402711093,0.458445194785826,19.3207596671525,606152225258.616,178.57756237819,13.9918892383575,Success
podTc2_GN05.2025.151.23.52.0029.E26.00_0000.0001_nc,436,356333415328.969,343.668105702861,326985513578.412,346.908802002157,345610472310,338.985240368303,61091788080.2931,15.580149928219,13.056927673049,4.64522903338432,3.73011093670494,3.2512559150338,2.32778706231232,21.7733406256062,311546086091.917,323.29060224854,17.5811815261841,Success
podTc2_GN05.2025.151.23.52.0030.G08.00_0000.0001_nc,339,483076329595.888,349.549340703341,449153154251.882,279.789734753214,389604902384.797,317.524699931221,129866285558.082,94.8699893573405,76.7645461432038,4.2167649665851,2.94867703310043,3.05195365356905,2.01212776616024,35.726990919581,267312163687.722,262.097226325696,7.37457656860352,Success
podTc2_GN05.2025.151.23.53.0027.E05.01_0000.0001_nc,344,673791431898.152,318.562093993485,762571459726.453,232.210521370309,320658722315.092,273.570322359598,221419309711.549,22.963334286066,21.4260974781367,3.70763904136558,1.70473528661088,3.58833191546599,1.53298387537931,7.18363967968653,745525112489.047,232.351417327177,6.59751105308533,Success
podTc2_GN05.2025.151.23.54.0025.C20.01_0000.0001_nc,353,505967710803.109,311.150494815282,342808358007.906,236.733211855871,328862832447.974,267.7934894878,58927807050.5392,33.18172248052,23.4520771050418,1.01976659701755,0.818580457512259,1.01474670276284,0.796102964533695,6.50855519891885,321096818040.512,235.498940243194,8.97687554359436,Success
podTc2_GN05.2025.151.23.54.0034.G27.00_0000.0001_nc,617,447430273668.236,308.478988916354,516553010696.875,229.693449885411,438404233673.5,270.311845315442,134191612119.789,75.3800055833954,58.0544869716216,12.9552793433385,7.9817063469128,9.39534302743933,5.98927025726242,46.0613755961585,450923827612.621,218.313682525904,31.3743102550507,Success
podTc2_GN05.2025.151.23.55.0031.R11.01_0000.0001_nc,471,1127386758915.48,330.842853280161,1984369138643.53,329.341778144358,853550651349.496,305.313877989086,683506276611.908,54.9768053606505,41.6248325943444,5.32000087831315,3.78161909226145,5.23615174253238,3.24332817437983,5.22345348485598,2033948728454.03,329.047505166489,22.1442842483521,Success
podTc2_GN05.2025.151.23.55.0036.R09.00_0000.0001_nc,595,387070704250.698,322.777267960148,332828322314.1,650,320425449687.5,365.514223873048,103309237508.438,36.0800139130886,32.5647202869129,4.56121954630198,4.06426573820994,4.49873649219963,3.76395204528808,0.746022953576619,433245701470.474,650,25.1894879341126,Success
podTc2_GN05.2025.151.23.56.0032.C23.01_0000.0001_nc,614,1214446823107.08,339.126608361916,2486549341546.74,350.731936400032,1095878297360.34,318.733816978209,867253895751.626,59.5231111282923,47.7255730423837,6.52474859494107,5.33930668435492,6.02352842077352,4.2765307907479,8.66656710230748,2659060553040.59,350.517274596169,55.325347661972,Success
podTc2_GN05.2025.151.23.56.0034.E21.00_0000.0001_nc,443,388065153766.492,317.677468872591,281477947054.533,318.590179020084,234872084916.375,351.584223771437,78016406825.3788,29.4583143977799,25.0655969779227,1.50152758767845,1.13701422664988,1.41840175971146,1.0576898580598,5.7990321116162,272942103541.577,316.172809621696,12.6975800991058,Success
podTc2_GN05.2025.151.23.57.0025.R02.01_0000.0001_nc,361,789437721756.917,314.598398579284,1091025367683.22,258.958663102622,400976863904.004,299.150894375568,404685349813.967,18.5934904365416,16.4454178276877,7.07141504761172,4.11824921800363,6.36229004704116,4.10739337484048,16.6353552793016,1125131343660.71,272.258496448869,9.57881450653076,Success
podTc2_GN05.2025.151.23.57.0026.R04.00_0000.0001_nc,438,442081557526.172,320.37270229607,388795674802.945,191.632289235855,390090861252,293.271590246944,93149415936.657,64.7289142424508,49.7913940371307,13.3313192523554,8.88098055534077,10.6931193059901,7.26642044737934,40.6287562142468,346732535256.078,201.819756374466,17.9937229156494,Success
podTc2_GN05.2025.151.23.57.0034.E31.01_0000.0001_nc,638,1153789741569.04,315.006202924235,2891703661898.54,333.888396614388,1210027404711.8,329.151747804771,1181602404601.54,68.6218452879429,54.4547739142778,6.20326044536508,4.06173976546234,6.20536914452499,4.27820974021509,-4.62436462246837,2705974064623.43,334.579639641296,56.1992576122284,Success
podTc2_GN05.2025.151.23.58.0022.C22.00_0000.0001_nc,116,402834314997.064,318.435577531192,275349394831.626,316.907525819086,120115922532.125,549.024517784368,110264860860.57,19.5917831238859,19.2598285311836,0.590478462835825,0.442073331551928,0.556804240085503,0.452167667073531,14.9274222581601,388093466326.82,297.12085931321,3.7245032787323,Success
podTc2_GN04.2025.151.23.25.0043.G30.00_0000.0001_nc,1206,396507861095.683,376.689512635126,562079632809.197,368.392740474258,557089517498.5,371.884957422522,131000625498.771,28.1322495008284,25.4800999570973,4.10261483066659,3.34234782994606,4.09986134593676,3.33856057998556,-13.7784115233015,583850869250.473,369.918254041334,129.487882137299,Success
podTc2_GN04.2025.151.23.30.0031.G27.00_0000.0001_nc,521,511921740443.952,314.518418465239,480839416915.961,189.046046521602,626686196995.125,255.861288407318,181249905770.667,107.424225407824,85.913709796147,12.3754263662391,7.85912154232466,8.63513195248397,5.40619052018974,61.992271672141,279033524977.941,185.172021122312,31.1438434123993,Success
podTc2_GN04.2025.151.23.31.0031.R11.01_0000.0001_nc,450,914378224451.952,318.047982120129,1241272475768.64,281.037409425623,712964755697.727,273.518185925722,333898917894.861,29.6453467576479,17.7325760037606,2.83162855334316,1.99425269801826,2.83673630982615,2.05860272299823,9.31405637810775,1262018356813.71,283.506529015789,20.0911378860474,Success
