# Global Ionospheric Radio Observatory (GIRO)
# GIRO Digital Ionogram Database (DIDBase)
# Tabulated Rapid Access Ionospheric Characteristics, Version 1.1
# Generated by FastChar.GetBest on 2026-06-08T21:25:08.697Z
#
# Location: GEO ( 42.6 N   288.5 E ), URSI-Code MHJ45, MILLSTONE HILL
# Query for measurement interval of time: 2025-06-01T00:00:00.000Z - 2025-06-04T00:00:00.000Z
# Requested by unknown guest from IP:127.0.0.1
# Instrument: Ionosonde, Model: [DPS-4D]
#
# Data Selection:
# CS [percent] = Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2[MHz] = F2 layer critical frequency
# foF1[MHz] = F1 layer critical frequency
# foE[MHz] = E layer critical frequency
# foEs[MHz] = Es layer critical frequency
# fbEs[MHz] = Blanketing frequency of Es-layer
# foEa[MHz] = Critical frequency of auroral E-layer
# foP[MHz] = Highest ordinary wave critical frequency of F region patch trace
# fxI[MHz] = Maximum frequency of F trace
# MUF(D)[MHz] = Maximum usable frequency for ground distance D
# M(D) = MUF(D)/foF2
# h`F2[km] = Minimum virtual height of F2 trace
# h`F[km] = Minimum virtual height of F trace
# h`E[km] = Minimum virtual height of E trace
# h`Es[km] = Minimum virtual height of Es trace
# h`Ea[km] = Minimum virtual height of auroral E-layer trace
# h`P[km] = Minimum virtual height of the trace used to determinate foP
# STATUS: WARNING (Unknown characteristic name: Type Es)
# hmF2[km] = Peak height F2-layer
# hmF1[km] = Peak height F1-layer
# hmE[km] = Peak height of E-layer
# zhalfNm[km] = The true height at half the maximum density in the F2-layer
# yF2[km] = Half thickness of F2-layer, parabolic model
# yF1[km] = Half thickness of F1-layer, parabolic model
# yE[km] = Half thickness of E-layer
# STATUS: WARNING (Unknown characteristic name: scaleF2)
# B0[km] = IRI thickness parameter
# B1 = IRI profile shape parameter
# D1 = IRI profile shape parameter, F1-layer
# TEC[TECU] = Total electron content
# FF[MHz] = Frequency spread between fxF2 and fxI
# FE[MHz] = Frequency spread beyond foE
# QF[km] = Average range spread of F-layer
# QE[km] = Average range spread of E-layer
# fmin[MHz] = Minimum frequency of ionogram echoes
# fminF[MHz] = Minimum frequency of F-layer echoes
# fminE[MHz] = Minimum frequency of E-layer echoes
# fminEs[MHz] = Minimum frequency of Es-layer
# foF2p[MHz] = Predicted value of foF2
# Distance D for MUF calculations: 3000 km
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of MHJ45 data provider
#
# Time                    CS   foF2 QD  foF1 QD   foE QD  foEs QD  fbEs QD  foEa QD   foP QD   fxI QD MUF(D) QD M(D) QD h`F2 QD  h`F QD  h`E QD   h`Es QD   h`Ea QD    h`P QD   hmF2 QD   hmF1 QD    hmE QD halfNm QD    yF2 QD    yF1 QD     yE QD    B0 QD   B1 QD   D1 QD    TEC QD    FF QD    FE QD     QF QD     QE QD  fmin QD fminF QD fminE QD minEs QD foF2p QD
2025-06-01T02:30:00.000Z  95  6.575 //   --- __   --- __   --- __   --- __   --- __   --- __  7.30 // 17.023 // 2.59 // 292.5 // 292.5 //  --- __    --- __    --- __    --- __  395.1 //    --- __    --- __  316.4 //  112.8 //    --- __    --- __ 100.2 // 3.00 //  --- __   13.2 //  0.05 //   --- __    --- __    --- __  2.10 //  2.10 //   --- __   --- __  4.36 //
2025-06-01T02:37:30.000Z  75  6.625 //   --- __   --- __   --- __   --- __   --- __   --- __  7.35 // 17.258 // 2.61 // 300.0 // 300.0 //  --- __    --- __    --- __    --- __  391.9 //    --- __    --- __  317.9 //  106.2 //    --- __    --- __  96.5 // 2.80 //  --- __   12.6 //  0.05 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.29 //
2025-06-01T02:45:00.000Z  90  6.725 //   --- __   --- __   --- __   --- __   --- __   --- __  7.53 // 17.891 // 2.66 // 290.0 // 290.0 //  --- __    --- __    --- __    --- __  382.4 //    --- __    --- __  307.8 //  106.6 //    --- __    --- __  92.1 // 3.26 //  --- __   13.1 //  0.13 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.22 //
2025-06-01T02:52:30.000Z  90  6.700 //   --- __   --- __   --- __   --- __   --- __   --- __  7.53 // 17.911 // 2.67 // 277.5 // 277.5 //  --- __    --- __    --- __    --- __  367.0 //    --- __    --- __  301.9 //   93.6 //    --- __    --- __  85.3 // 2.72 //  --- __   11.3 //  0.13 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.15 //
2025-06-01T03:00:00.000Z  90  6.725 //   --- __   --- __   --- __   --- __   --- __   --- __  7.45 // 17.610 // 2.62 // 277.5 // 277.5 //  --- __    --- __    --- __    --- __  371.9 //    --- __    --- __  308.5 //   91.8 //    --- __    --- __  87.0 // 2.34 //  --- __   11.1 //  0.20 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.09 //
2025-06-01T03:07:30.000Z  90  6.750 //   --- __   --- __   --- __   --- __   --- __   --- __  7.47 // 17.622 // 2.61 // 280.0 // 280.0 //  --- __    --- __    --- __    --- __  387.3 //    --- __    --- __  312.4 //  107.4 //    --- __    --- __  95.8 // 2.90 //  --- __   13.1 //  0.28 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.01 //
2025-06-01T03:15:00.000Z  80  6.800 //   --- __   --- __   --- __   --- __   --- __   --- __  7.65 // 18.165 // 2.67 // 282.5 // 282.5 //  --- __    --- __    --- __    --- __  377.3 //    --- __    --- __  309.4 //   97.7 //    --- __    --- __  88.7 // 2.75 //  --- __   12.1 //  0.25 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  3.95 //
2025-06-01T03:22:30.000Z  70  6.675 //   --- __   --- __   --- __   --- __   --- __   --- __  7.40 // 17.930 // 2.69 // 282.5 // 282.5 //  --- __    --- __    --- __    --- __  370.5 //    --- __    --- __  303.9 //   95.6 //    --- __    --- __  86.6 // 2.82 //  --- __   11.5 //  0.05 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  3.88 //
2025-06-01T03:30:00.000Z  90  6.750 //   --- __   --- __   --- __   --- __   --- __   --- __  7.53 // 18.152 // 2.69 // 285.0 // 285.0 //  --- __    --- __    --- __    --- __  362.4 //    --- __    --- __  308.2 //   79.0 //    --- __    --- __  78.2 // 2.03 //  --- __    9.7 //  0.22 //   --- __    --- __    --- __  2.05 //  2.05 //   --- __   --- __  3.81 //
2025-06-01T03:37:30.000Z  65  6.875 //   --- __   --- __   --- __   --- __   --- __   --- __  5.80 // 18.377 // 2.67 // 287.5 // 287.5 //  --- __    --- __    --- __    --- __  379.3 //    --- __    --- __  307.6 //  102.5 //    --- __    --- __  90.4 // 3.08 //  --- __   13.1 //  0.08 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  3.74 //
2025-06-01T03:45:00.000Z  90  6.750 //   --- __   --- __   --- __   --- __   --- __   --- __  7.50 // 18.448 // 2.73 // 282.5 // 282.5 //  --- __    --- __    --- __    --- __  367.7 //    --- __    --- __  300.8 //   95.5 //    --- __    --- __  82.7 // 3.26 //  --- __   11.8 //  0.10 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  3.68 //
